id,novel_id,keyword_id,engagement
1,margan001,11,"Mulk Raj Anand’s The Untouchable is set in colonial India in the 1930s and follows Bakha, an eighteen-year-old ‘untouchable’, belonging to one of the most oppressed and marginalised communities, to the extent that even their touch is believed to be polluting for upper castes. The novel follows Bakha through a single day of swinging fortunes, one in which he experiences both unexpected kindness and (expected) humiliation and discrimination. These experiences incite anger, resentment, hopelessness as well as timidity in young Bakha. The day culminates with Bakha attending a prayer meeting in which Mahatma Gandhi talks about the unfairness of the treatment meted out to untouchables, and Bakha. Gandi’s words strike Bakha with the force of revelation and effect a conversion to Gandhian politics. This political-religious conversion is contrasted with the distraught Bakha’s earlier meeting with a Christian missionary who attempts to make a convert out of Bakha; the novel incorporates words of hymns and prayers from the missionary; Bakha does not fully comprehend the words and moves on, through their appearance on the page the reader register how the words fail to engage with or are worlds away from the problems Bahka faces. They do not, for instance, speak to the transformation the new technology of flush toilets might instigate. Such considerations are, however, raised in Gandhi’s rally with which the novel closes."
2,margan001,7,"Mulk Raj Anand’s The Untouchable critiques the caste system and its inequities. It depicts a day-in-the-life of Bakha, a young ‘untouchable’ who lives with his family in the ‘outcastes colony’- a dirty and dingy place that is outside the city limits of Bulashah in colonial India. Through the course of his day, we see the various ways in which Bakha is unjustly treated and humiliated, from being beaten for bumping into an upper-caste man, to his not being allowed to enter a temple, and the humiliating way in which he is forced to clean a drain for his food. The novel is unflinching in its depiction of the self-serving and hypocritical Hindu priests who uphold the caste system. Early in the novel, Anand contrasts the physical prowess, focus, and productivity of Bakha (even amidst his undignified labour of cleaning communal latrines) with a Hindu priest, concerned with the delicacies he is to be offered to eat and his own bowel movements. Later, too, we have of Bakha is denied entry to a temple for reasons of caste as he attempts to confront the priest who has sexually assaulted his sister."
3,margan001,18,"Mulk Raj Anand’s The Untouchable depicts the intricacies of caste system in graphic detail. Through the realist mode of the novel and the focalisation of the narrative through the character of Bakha, the novel shows how this system of graded inequalities operated. Not only are the ‘untouchables’ or ‘outcastes’ considered outside the pale of orthodox Hindu society, but they also literally live outside town, and are excluded from every aspect of public life, such as not being allowed into the temple, not being allowed to eat and drink out of the same vessels as the ‘upper’ castes and even their touch being considered as polluting. This system is upheld by priests. Early in the novel, a Hindu priest refuses to assist a lower caste woman collecting water for fear of her polluting touch. Later in the novel, a Hindu priest overcomes reservations about touching untouchables and sexually assaults Bakha’s sister. The priest then uses the prohibition on outcastes entering the temple to shield him from Bakha’s anger."
4,margan001,10,"Mulk Raj Anand’s The Untouchable revolves around Bakha, who is the eponymous untouchable- the lowest tier of the Hindu caste system. Through the realist mode of the novel and the focalisation of the narrative through the character of Bakha, the novel shows how this system of graded inequalities operated. Caste as a construct is given legitimacy by orthodox religion and is enforced by public pressure; with regard to the former Anand contrasts the physical prowess, focus, and productivity of Bakha (even amidst his undignified labour of cleaning communal latrines) with a Hindu priest, concerned only with the delicacies he is to be offered to eat and his own bowel movements. This priest refuses to help refuses to assist a lower caste woman collecting water for fear of her polluting touch. The religiously sanctioned system enforces a hierarchy amongst human beings that guides all aspects of interaction between them, from the simplest aspects such as physical contact, to activities such as eating and sharing of food. The novel ends with Bakha attending a political rally hosted by Mahatma Gandhi; Gandhi speaks to Bakha’s situation in a way that no-one else in the novel has. After depicting its inequalities, the novel closes with Bakha’s participation in a political movement that expresses a willingness to redress these inequities."
5,margan001,24,"Mulk Raj Anand’s novel The Untouchable documents through realist narration the injustices and inequities of the caste system. Through the events that befall the protagonist Bakha, the novel demonstrates how caste completely dominates everyday life in colonial India. The caste system is based on ideas, practices and rituals related to purity. As part of the caste system, Bakha’s occupation of being a sweeper is hereditary, and in an era before flush toilets, this (and many other service occupations) was seen as ritually impure. Through the logic of the caste system, this translates into Bakha and others like him also being impure. As we are shown in the novel, their touch, or indeed, their very presence (such as in the sacred space of the temple) is seen as impure and polluting to the upper castes. Early in the novel, a Hindu priest refuses to assist a lower caste woman collecting water for fear of her polluting touch. The rigid separation caste boundaries posed and the vigorous often violent ways in which they were enforced – Bakha, for instance, is beaten when he bumps into higher caste man in town while sweeping – keeps the the caste system in place."
6,margan003,13,"The central figure of Rudolfo Anaya’s novel, Bless Me, Ultima, is Ultima, an older woman who is a curandera, a herbalist and midwife who heals through the use of herbs and ritual magic. The novel has an episodic structure, with the child narrator, Tony, telling of different incidents in his childhood, many involving Ultima. Ultima’s power and wisdom are a thread running through the novel. A central incident involves Ultima healing Tony’s uncle who has been cursed by witches. Ultima attracts the attention of the witches’ father and he threatens her several times, eventually succeeding in killing the owl that holds her spirit and she dies that same night. Ultima shares her knowledge with Tony, teaching him about medicinal plants and how to gather them appropriately and show respect in the way they are harvested by asking the plants to give their medicine.  "
7,margan003,14,"Rudolfo Anaya’s novel, Bless Me, Ultima, centres on the figure of Ultima, a family friend who comes to live with the narrator, Tony Marez, and his family when he is a child. Ultima is a curandera, an herbalist, midwife and wise woman who heals through plant wisdom and ritual magic. Ultima is presented as wise and knowledge about the land, particularly plants and also as having access to knowledge beyond ordinary understanding. She is aligned with the owl and an owl appears periodically in the text, said to share Ultima’s spirit. When the owl is killed, Ultima dies soon after."
8,margan003,22,"Place is a major theme in Rudolfo Anaya’s novel, Bless Me, Ultima. The story is set in New Mexico and the narrator, Tony, describes three places of spiritual and social significance in the novel: the town of Guadalupe where his family presently lives, with its surrounding farms; the llano, grass plains described as freer, wilder and more pagan than the town; and the river, a place that is similar to the llano in terms of wildness and contact with ancient, pagan (as described by the narrator) religion, the home of the golden carp, described as a pagan god. The town and farms are presented in opposition to the llano, a place of greater freedom and wildness. Tony’s mother and her brothers are from the farm land and Tony’s father and Ultima are from the llano. The town and farms are aligned with Catholicism and the llano and river aligned with Indigenous animist traditions in which the sacred is found within the land, plants and animals. Tony himself is torn between the two places, always looking for contact with the sacred and having strong emotional connections with both sides of his family. He eventually determines to unite the spirituality of both farm (Catholicism) and llano (Indigenous tradition)."
9,margan003,25,"Ritual plays a significant role in Rudolfo Anaya’s novel, Bless Me, Ultima, firstly, in the various healing or protection rituals, involving herbs, invocations, bathing, etc performed by Ultima. The second major ritual of the novel is first communion for Tony and his classmates. The children take catechism lessons during the months leading up to Easter in order to learn Catholic doctrine and practice. They then participate in a catechism test by the bishop, a first confession and communion. The contents of the lessons and anxiety about sin, particularly sex, becomes a topic of teasing and conflict amongst the children. Tony is pushed to pretend to be a priest and hear confessions, which makes him uncomfortable. The children turn on Florence, a boy who claims to have no sins but who accuses God of sinning against him because of the death of his parents, and on Tony who refuses to give him penance. Tony is deeply disappointed by communion because he expected to feel the presence of God and he does not."
10,margan005,4,"Several characters in James Baldwin’s Go Tell It on the Mountain struggle with belief. Fourteen-year-old John Grimes finds himself doubting the Pentecostal religious dogma he has been raised with, especially that relating to the body and the material world. Other youths feel the same: during an evening service in a Pentecostal church, Sister McCandless frowns at the lack of young people attending. Adults struggle too: John’s aunt, Florence, has scarcely entered a church in years; John’s mother, Elizabeth, remembers valuing her lover, Richard, over God; and John’s father, Gabriel, uses his extreme religiosity to cover up his lack of devotion in his youth. John’s scepticism is only encouraged by the hypocrisy of his family and community, as well as his religion’s distaste for bodily wants and needs. He does, however, ultimately accept God into his heart, but through his own acceptance of his body and sexuality."
